"","ChemicalX","ZombieCount"
"435",2.1,1482
"436",0.2,2
"437",2.4,3598
"438",1.6,336
"439",0.5,14
"440",1,56
"441",1.7,514
"442",0.2,2
"443",0,1
"444",1.9,837
"445",1.2,95
"446",1.2,117
"447",2,1074
"448",1.6,376
"449",1,53
"450",1.7,450
"451",2,1128
"452",0.3,7
"453",0.3,3
"454",1.4,201
"455",2,1101
"456",1.9,810
"457",1.6,319
"458",1.9,852
"459",0.4,10
"460",0.7,25
"461",0.8,36
"462",0.6,21
"463",0.7,24
"464",2.3,2721
"465",1.3,136
"466",1.4,171
"467",1.4,174
"468",2.3,2715
"469",1.8,611
"470",1.1,65
"471",0.1,6
"472",1.5,233
"473",1.8,602
"474",1.7,443
"475",1.9,818
"476",0.8,27
"477",2.5,4790
"478",1.1,85
"479",2.2,1896
"480",0,3
"481",0.3,10
"482",1.5,267
"483",0.5,7
"484",0.8,28
"485",1.3,117
"486",0.6,13
"487",2.2,1982
"488",1.4,180
"489",2.4,3610
"490",2.4,3580
"491",0.4,12
"492",0.8,34
"493",0.1,1
"494",1.7,430
"495",0.1,3
"496",1.9,799
"497",0.3,6
"498",1,62
"499",0.1,5
"500",0.6,13
"501",0.5,11
"502",1.5,250
"503",2.5,4893
"504",2.5,4844
"505",1.9,818
"506",1.3,135
"507",0.5,18
"508",0,1
"509",1.3,140
"510",1.6,345
"511",1.9,815
"512",1.4,172
"513",1.2,87
"514",1.6,329
"515",0.3,4
"516",0.5,15
"517",0.9,45
"518",1.2,108
"519",2.3,2713
"520",1.6,322
"521",0,2
"522",1.9,741
"523",1.4,194
"524",0.6,20
"525",1.9,835
"526",0.8,34
"527",1.7,455
"528",2.3,2675
"529",2.4,3751
"530",0.4,8
"531",0.8,32
"532",0.1,2
"533",0.1,3
"534",1.1,68
"535",1.7,446
"536",1.4,183
"537",2.5,4983
"538",1.5,246
"539",0.2,3
"540",0.2,9
"541",0.7,22
"542",0.1,9
"543",0.9,40
"544",0.3,13
"545",1.5,229
"546",1.7,446
"547",1.8,585
"548",0.1,3
"549",0.9,49
"550",0.3,8
"551",2.3,2697
"552",1.2,93
"553",0.5,20
"554",0.1,2
"555",0.2,6
"556",0.3,11
"557",1.2,91
"558",2,1091
"559",0.9,36
"560",0.7,15
"561",1.5,232
"562",2.3,2771
"563",0.9,38
"564",0.6,12
"565",1.4,192
"566",0.4,6
"567",2.2,2036
"568",1,56
"569",0.3,7
"570",1.8,598
"571",2.3,2666
"572",1.7,441
"573",2.5,5117
"574",0.8,35
"575",2.2,1959
"576",2,1084
"577",2.1,1483
"578",0.9,40
"579",1.9,824
"580",1.3,118
"581",0.2,5
"582",0.9,41
"583",0,4
"584",2.2,1971
"585",0.9,40
"586",1.1,76
"587",2.3,2690
"588",0.1,7
"589",0.5,14
"590",0.8,36
"591",1,59
"592",1.3,129
"593",0.9,31
"594",0.1,4
"595",0.3,6
"596",2.4,3581
"597",2.1,1423
"598",0.3,4
"599",0.8,33
"600",1,52
"601",2.3,2691
"602",2.1,1547
"603",0.8,34
"604",0.4,9
"605",1.7,469
"606",2.3,2689
"607",0.5,8
"608",1.7,472
"609",1.3,138
"610",1,60
"611",1.6,330
"612",0.6,16
"613",1.7,448
"614",1.6,341
"615",1.3,136
"616",0.8,32
"617",0.4,6
"618",1.3,128
"619",0,4
"620",0.5,7
"621",1.7,445
"622",1.8,629
"623",0.2,9
"624",1,57
"625",0.5,8
"626",0.2,2
"627",0.4,7
"628",0.9,31
"629",0.3,9
"630",1.2,99
"631",0.3,6
"632",1.4,196
"633",0.4,6
"634",1.1,85
"635",2.3,2728
"636",1.9,861
"637",0.4,12
"638",1.2,100
"639",1.4,181
"640",0.1,4
"641",0.5,5
"642",1.9,807
"643",0.9,42
"644",2.4,3684
"645",1.8,606
"646",1.7,436
"647",1,57
"648",1.4,181
"649",1.3,120
"650",1.7,439
"651",0.5,11
"652",1.2,106
"653",0,2
"654",0,2
"655",1.6,312
"656",1.2,86
"657",2.3,2696
"658",0.9,38
"659",0.3,12
"660",0.8,34
"661",0.4,11
"662",1.3,122
"663",0.9,40
"664",2.4,3610
"665",0.5,17
"666",1.4,185
"667",1.8,628
"668",1.9,828
"669",1.3,129
"670",1.5,234
"671",1.6,305
"672",1.2,114
"673",0.2,2
"674",1.4,182
"675",1.3,137
"676",0.3,10
"677",1.8,570
"678",0.4,17
"679",1,54
"680",0.5,15
"681",0.1,4
"682",1.6,327
"683",2,1150
"684",1.1,72
"685",1.2,89
"686",2,1092
"687",2.1,1430
"688",0.7,12
"689",0.1,6
"690",0.1,4
"691",1.6,349
"692",0.2,6
"693",1.1,72
"694",0.2,1
"695",1.3,109
"696",2,1175
"697",2.2,2007
"698",1.7,460
"699",1.6,344
"700",1.5,275
"701",2.1,1493
"702",2.2,1923
"703",2.5,4817
"704",0.8,26
"705",0.1,2
"706",2.3,2717
"707",1.1,61
"708",1.6,312
"709",0.2,1
"710",1.6,315
"711",2.2,1937
"712",1.1,71
"713",2.1,1448
"714",1.7,418
"715",1,53
"716",2.5,4863
"717",1.6,307
"718",0.2,4
"719",0.9,37
"720",2,1099
"721",1.9,827
"722",0.5,15
"723",0,5
"724",1.1,69
"725",1,56
"726",0.3,3
"727",0.1,2
"728",2,1089
"729",2.5,4743
"730",2.2,2049
"731",1.5,243
"732",1.6,365
"733",0.8,46
"734",1.9,797
"735",1.8,559
"736",0.8,31
"737",0.3,6
"738",1.8,616
"739",0,5
"740",2,1073
"741",1.2,101
"742",0.8,31
"743",0.7,16
"744",0,3
"745",1.1,57
"746",0.3,3
"747",1.1,80
"748",2.2,1937
"749",0.4,7
"750",1.7,425
"751",2.4,3650
"752",1.4,160
"753",2.5,4984
"754",0.3,6
"755",0.1,5
"756",1.8,637
"757",0.8,28
"758",0.8,28
"759",1.1,65
"760",2.1,1575
"761",0.4,5
"762",0.5,4
"763",2.4,3543
"764",1.1,69
"765",0.6,15
"766",2.4,3533
"767",1.4,206
"768",0,5
"769",1.9,776
"770",1.9,776
"771",0.9,30
"772",1.7,447
"773",1.7,451
"774",1.4,170
"775",2.3,2652
"776",0.5,15
"777",1.1,83
"778",2.4,3638
"779",1.6,312
"780",2.5,4855
"781",1.4,174
"782",2.5,4942
"783",1.7,492
"784",1.6,327
"785",2,1102
"786",0.3,14
"787",1.5,247
"788",1.9,765
"789",2.4,3538
"790",0.6,22
"791",0.6,21
"792",1.7,442
"793",0.4,7
"794",1.9,730
"795",0.6,22
"796",2.4,3681
"797",2.1,1495
"798",0.6,22
"799",1.4,198
"800",0.3,9
"801",1.7,431
"802",1.9,802
"803",0.4,6
"804",1,55
"805",1.5,225
"806",2.5,4923
"807",1.2,103
"808",1.4,188
"809",2.2,2003
"810",1.6,330
"811",0,3
"812",2.2,1989
"813",1.2,101
"814",2.5,4772
"815",1.7,499
"816",1.4,194
"817",2.4,3646
"818",1.2,104
"819",1.4,160
"820",0.2,4
"821",1.3,134
"822",0,6
"823",0.1,2
"824",0.3,10
"825",1.7,429
"826",1.7,473
"827",1.8,587
"828",0.7,26
"829",0.5,13
"830",0.4,7
"831",0.2,8
"832",2.3,2579
"833",1.3,149
"834",2.2,2026
"835",0.4,9
"836",0,2
"837",0.8,23
"838",2.3,2667
"839",0.7,24
"840",0.8,27
"841",1,36
"842",0.9,35
"843",0.4,11
"844",1.9,826
"845",2.5,4857
"846",1.4,197
"847",0.4,9
"848",2.3,2734
"849",0.7,28
"850",1.9,777
"851",1,58
"852",1.9,822
"853",2.2,2009
"854",1.8,613
"855",1.4,178
"856",1.2,97
"857",0.4,12
"858",0.5,9
"859",0.3,3
"860",1.9,805
"861",1.9,754
"862",1.5,230
"863",2.1,1397
"864",0.3,7
"865",0.3,10
"866",1.9,860
"867",1.3,134
"868",1.8,623
"869",0.7,20
"870",1.8,593
"871",1,59
"872",2,1129
"873",0.7,25
"874",1.1,70
"875",1.2,109
"876",0.8,29
"877",1,67
"878",2.2,2043
"879",1.2,104
"880",1.9,829
"881",0.9,47
"882",0.1,4
"883",0.6,14
"884",0.5,18
"885",1.7,435
"886",0.3,5
"887",2.1,1490
"888",0.8,21
"889",2.3,2705
"890",1.9,857
"891",1.9,785
"892",0.5,19
"893",2.2,2002
"894",0.2,3
"895",2.1,1471
"896",1.2,80
"897",0.1,5
"898",1.9,810
"899",2,1108
"900",2.1,1464
"901",0.9,33
"902",2.3,2642
"903",0,0
"904",0.3,6
"905",0.4,8
"906",0,3
"907",0.6,10
"908",0,1
"909",0.8,28
"910",1.3,144
"911",1.8,616
"912",1.8,595
"913",2,1051
"914",2.2,2000
"915",1.6,346
"916",1.6,322
"917",1.9,782
"918",2.2,1933
"919",1,54
"920",0.4,3
"921",1.2,93
"922",2,1144
"923",0.3,7
"924",1.7,444
"925",0.4,7
"926",0.5,11
"927",2.3,2664
"928",1.8,602
"929",0,6
"930",2.1,1469
"931",1.6,358
"932",1,54
"933",1.3,138
"934",0.2,4
"935",2.5,4960
"936",0.8,27
"937",0.5,15
"938",1.3,152
"939",1.6,333
"940",0.9,42
"941",2.1,1442
"942",0.3,8
"943",1.9,810
"944",0.6,14
"945",1.6,353
"946",0.8,36
"947",1.8,585
"948",2.1,1454
"949",1.2,89
"950",0.4,5
"951",1.1,65
"952",1.1,64
"953",1.4,179
"954",1.7,432
"955",0.7,16
"956",1.2,97
"957",1.8,619
"958",0.2,5
"959",0.4,5
"960",1.8,582
"961",0.1,5
"962",1.2,104
"963",1.6,350
"964",0.4,16
"965",1.4,167
"966",0.7,24
"967",1.9,844
"968",0.8,32
"969",2.5,4935
"970",2.4,3503
"971",0.6,12
"972",2,1177
"973",0.9,38
"974",0,3
"975",1.4,208
"976",1.9,816
"977",2.3,2614
"978",0.1,2
"979",0.9,39
"980",0.3,8
"981",0.6,17
"982",1.3,111
"983",2.4,3577
"984",2.1,1471
"985",1.9,813
"986",2.3,2686
"987",0.2,9
"988",2.3,2689
"989",1.5,218
"990",1.4,171
"991",0.6,14
"992",0.2,2
"993",2.3,2699
"994",2,1151
"995",0.6,14
"996",0.2,4
"997",1.6,318
"998",0.3,4
"999",0.5,8
"1000",1,58
"1001",1.5,231
"1002",0.6,17
"1003",0.4,12
"1004",0.5,13
"1005",0.5,10
"1006",0.5,8
"1007",2.1,1446
"1008",1.9,842
"1009",0.8,27
"1010",2,1073
"1011",0.4,8
"1012",1.3,134
"1013",2.4,3613
"1014",0.1,3
"1015",2,1075
"1016",0.2,2
"1017",2.3,2727
"1018",0.1,8
"1019",2.2,1985
"1020",2.4,3661
"1021",2,1084
"1022",2.4,3613
"1023",1.9,792
"1024",0.1,6
"1025",0.5,8
"1026",1.4,182
"1027",0.5,13
"1028",2.1,1471
"1029",2,1139
"1030",0.7,26
"1031",0.4,11
"1032",2.5,4896
"1033",0.3,5
"1034",1.6,304
"1035",2.5,4888
"1036",0.8,28
"1037",1.6,352
"1038",2.2,1984
"1039",1.6,315
"1040",0.9,51
"1041",0.9,43
"1042",0.9,50
"1043",0.2,3
"1044",2.4,3559
"1045",0.4,9
"1046",2.4,3506
"1047",0.1,4
"1048",0.6,16
"1049",0.7,30
"1050",2.3,2663
"1051",1.1,74
"1052",2.2,2059
"1053",0.6,23
"1054",1.8,608
"1055",0.3,5
"1056",0.7,28
"1057",1.7,451
"1058",1.9,870
"1059",2.4,3621
"1060",2.1,1513
"1061",0.3,4
"1062",0.6,16
"1063",1,55
"1064",2,1101
"1065",0.6,14
"1066",1.3,137
"1067",1.6,328
"1068",0.2,2
"1069",2.4,3687
"1070",1.4,193
"1071",2,1067
"1072",0,2
"1073",0,2
"1074",1.9,804
"1075",2.4,3622
"1076",2.4,3551
"1077",1.3,153
"1078",1.9,852
"1079",1.7,457
"1080",1.9,799
"1081",1,55
"1082",0,1
"1083",1.9,811
"1084",0.2,6
"1085",0.3,8
"1086",1,69
"1087",0,0
"1088",1,59
"1089",2.3,2694
"1090",0.8,25
"1091",1.4,176
"1092",0.2,7
"1093",1.9,792
"1094",0.3,11
"1095",2.2,2021
"1096",1.7,442
"1097",2,1051
"1098",1.5,240
"1099",0.6,15
"1100",0.6,17
"1101",0.8,38
"1102",1.7,458
"1103",2.2,2022
"1104",1.2,113
"1105",0.1,4
"1106",2.2,1927
"1107",0.7,29
"1108",0.3,5
"1109",2.1,1506
"1110",0.3,2
"1111",0,3
"1112",2.5,4982
"1113",2.4,3621
"1114",1.6,316
"1115",1.7,442
"1116",0.1,3
"1117",2.4,3669
"1118",1.9,863
"1119",1.6,352
"1120",1.8,607
"1121",0.6,17
"1122",2.3,2729
"1123",2.1,1522
"1124",1.9,797
"1125",0.9,50
"1126",2.1,1487
"1127",2.5,4854
"1128",1.9,762
"1129",1.6,323
"1130",2.4,3683
"1131",1.2,111
"1132",1.8,604
"1133",0.4,9
"1134",1,58
"1135",2.2,1999
"1136",1.2,118
"1137",0.3,8
"1138",0.7,24
"1139",1.8,614
"1140",1.8,601
"1141",1.6,321
"1142",0.6,15
"1143",1.9,820
"1144",0.3,7
"1145",1.8,628
"1146",1.1,71
"1147",2.4,3611
"1148",1.9,770
"1149",0.7,17
"1150",1.1,70
"1151",1.9,795
"1152",2.5,4886
"1153",1.4,185
"1154",1.6,338
"1155",1.5,258
"1156",0.4,16
"1157",0.8,35
"1158",1.4,163
"1159",1.4,168
"1160",0,0
"1161",2.4,3621
"1162",1,52
"1163",1.1,77
"1164",1.4,175
"1165",0.1,2
"1166",2.4,3697
"1167",1.7,449
"1168",1.8,620
"1169",1.6,346
"1170",2.2,2061
"1171",1.1,75
"1172",0.8,26
"1173",1.1,67
"1174",0.3,5
"1175",1.9,834
"1176",1,57
"1177",2.4,3645
"1178",2.5,4810
"1179",1.2,99
"1180",2.4,3650
"1181",0.3,9
"1182",1.8,583
"1183",0.6,25
"1184",1.4,185
"1185",1.9,813
"1186",1.4,167
"1187",0.8,38
"1188",2.5,4953
"1189",1.7,440
"1190",0.4,7
"1191",2.3,2732
"1192",1.9,846
"1193",1.4,169
"1194",0.7,20
"1195",0.1,1
"1196",2.5,4905
"1197",2.4,3534
"1198",2.3,2579
"1199",1.5,240
"1200",1.9,852
"1201",0.6,25
"1202",1.2,124
"1203",0.6,11
"1204",0.1,4
"1205",1.3,120
"1206",1.3,125
"1207",2.5,4970
"1208",1.7,444
"1209",1.5,242
"1210",2.4,3618
"1211",0.7,24
"1212",2,1094
"1213",1.4,187
"1214",0.1,2
"1215",0.4,15
"1216",1.6,340
"1217",1.7,453
"1218",2.4,3567
"1219",1,58
"1220",2.3,2695
"1221",1.1,73
"1222",0.7,27
"1223",0.1,8
"1224",0.2,5
"1225",1.4,179
"1226",0.2,4
"1227",2.3,2763
"1228",1.1,82
"1229",1,54
"1230",2.1,1451
"1231",1.8,623
"1232",1.5,226
"1233",2.1,1464
"1234",0.1,3
"1235",1.6,335
"1236",1.2,100
"1237",1,49
"1238",0.4,4
"1239",1,62
"1240",1.9,826
"1241",1.8,625
"1242",1.9,774
"1243",0.8,29
"1244",0.6,24
"1245",0.7,21
"1246",2,1159
"1247",0.9,43
"1248",0.4,10
"1249",1.6,347
"1250",2.4,3669
"1251",1,57
"1252",0.3,5
"1253",1,54
"1254",2.1,1483
"1255",1.9,808
"1256",1.5,285
"1257",2.5,4868
"1258",0.9,41
"1259",1.5,245
"1260",0.7,17
"1261",0.8,27
"1262",1.2,104
"1263",0.9,44
"1264",2.5,4936
"1265",0.9,35
"1266",0.3,11
"1267",0.7,26
"1268",2.1,1486
"1269",1.4,195
"1270",1.9,823
"1271",0.3,8
"1272",0.5,16
"1273",2,1136
"1274",2.4,3606
"1275",0,3
"1276",0.1,1
"1277",0.3,2
"1278",2.2,1997
"1279",2.5,4822
"1280",1,45
"1281",0.8,31
"1282",1.8,598
"1283",0.4,8
"1284",0,2
"1285",0.6,20
"1286",0.2,3
"1287",0.3,8
"1288",1.2,111
"1289",1.6,324
"1290",0.9,31
"1291",1.4,185
"1292",0.3,6
"1293",0,2
"1294",1.8,600
"1295",1.6,341
"1296",1.5,260
"1297",2,1071
"1298",0.8,23
"1299",2.5,4886
"1300",2,1108
"1301",1.8,608
"1302",1.6,324
"1303",0.5,9
"1304",1.1,74
"1305",1.3,148
"1306",0.8,33
"1307",0.7,20
"1308",1.4,200
"1309",0.2,1
"1310",2.3,2683
"1311",2.1,1477
"1312",1.1,77
"1313",0.6,19
"1314",0.4,9
"1315",1.9,854
"1316",1.1,64
"1317",2.1,1448
"1318",2,1086
"1319",0.1,5
"1320",1.4,186
"1321",1.8,571
"1322",0.7,18
"1323",0.7,19
"1324",1.7,437
"1325",2.4,3660
"1326",0.5,7
"1327",1.4,195
"1328",1.6,344
"1329",0.1,3
"1330",0.7,23
"1331",0.3,6
"1332",2.1,1419
"1333",2.5,4967
"1334",1.3,131
"1335",1.3,124
"1336",0.2,2
"1337",2.4,3581
"1338",0.9,46
"1339",0.8,27
"1340",1.7,432
"1341",0.1,4
"1342",1.1,79
"1343",0.7,24
"1344",1,58
"1345",0.1,2
"1346",2.1,1458
"1347",2.1,1490
"1348",2.1,1457
"1349",0.1,3
"1350",1,60
"1351",2.4,3734
"1352",0.2,5
"1353",1.2,84
"1354",0.9,44
"1355",1.7,429
"1356",1,51
"1357",0.7,26
"1358",0.2,1
"1359",0.9,44
"1360",1.1,62
"1361",1.1,77
"1362",2.5,4879
"1363",2,1041
"1364",2,1106
"1365",2.4,3590
"1366",0,1
"1367",1.4,171
"1368",2.4,3550
"1369",1.1,72
"1370",2.5,4823
"1371",0.4,6
"1372",0.2,3
"1373",1,59
"1374",2.4,3675
"1375",0.7,22
"1376",1.7,436
"1377",0.4,12
"1378",0.8,25
"1379",1.1,79
"1380",1.4,200
"1381",0.1,4
"1382",1.3,136
"1383",1.8,602
"1384",1.8,603
"1385",0.2,7
"1386",0.3,9
"1387",0.6,21
"1388",2.5,4881
"1389",1.5,270
"1390",2.1,1467
"1391",0,2
"1392",0,5
"1393",0.8,28
"1394",2,1103
"1395",1.3,127
"1396",2.2,1955
"1397",0.2,5
"1398",0.9,40
"1399",1.7,424
"1400",0.4,15
"1401",0.6,22
"1402",1.9,845
"1403",1.7,435
"1404",0.3,4
"1405",0,1
"1406",1.5,236
"1407",2,1042
"1408",2.3,2664
"1409",1.1,68
"1410",2.5,4933
"1411",0.8,34
"1412",1.6,318
"1413",1.9,754
"1414",1.4,183
"1415",1.1,82
"1416",2.1,1454
"1417",0.8,34
"1418",1.2,92
"1419",1.2,103
"1420",1.9,820
"1421",1.1,75
"1422",1.3,133
"1423",1.4,198
"1424",0.8,35
"1425",1.2,86
"1426",1.6,306
"1427",2,1084
"1428",1.2,91
"1429",1.3,120
"1430",0.4,10
"1431",0.3,7
"1432",1.9,798
"1433",2.2,1978
"1434",0.1,3
"1435",1.5,249
"1436",1,66
"1437",2.5,4888
"1438",2.2,2035
"1439",2.2,2023
"1440",2.2,1986
"1441",2.3,2636
"1442",1.5,264
"1443",2,1128
"1444",0.5,12
"1445",0.7,22
"1446",0.4,13
"1447",1.8,621
"1448",0.4,4
"1449",2.5,4928
"1450",0.8,22
"1451",1.5,237
"1452",1.4,174
"1453",2.2,2043
"1454",1.2,109
"1455",0,2
"1456",1.2,117
"1457",2.3,2634
"1458",1.1,67
"1459",0.1,8
"1460",0.7,28
"1461",2,1083
"1462",0.5,7
"1463",1.2,101
"1464",0.1,6
"1465",1.7,434
"1466",0.9,37
"1467",0.4,6
"1468",1.9,833
"1469",2.2,2017
"1470",0.7,25
"1471",1.6,314
"1472",0.5,12
"1473",1.5,268
"1474",1.7,462
"1475",0.6,16
"1476",1.1,79
"1477",0.3,2
"1478",1.4,177
"1479",1.1,83
"1480",1.8,556
"1481",1.2,93
"1482",2,1110
"1483",0,4
"1484",0.4,6
"1485",2.3,2660
"1486",1.8,591
"1487",1.8,573
"1488",2.1,1468
"1489",1.6,358
"1490",1.2,108
"1491",0.9,33
"1492",2.4,3636
"1493",1.1,59
"1494",1.6,335
"1495",0.3,6
"1496",0.9,38
