"","ID","pet","weight"
"82",82,"rat",452.747279299025
"90",90,"owl",2541.47826271189
"130",130,"cat",3649.43978964
"107",107,"toad",1566.6621266683
"153",153,"cat",3676.72440432314
"123",123,"rat",334.282932905772
"164",164,"rat",383.310899230823
"135",135,"toad",1221.67492003504
"49",49,"rat",374.94898030061
"29",29,"owl",2049.35179716201
"73",73,"owl",2260.58933315158
"8",8,"cat",3559.47357475325
"65",65,"cat",3900.13379884333
"120",120,"cat",3971.99470789618
"87",87,"toad",2245.50135534827
"78",78,"cat",4057.81825337127
"185",185,"toad",2269.85064929397
"150",150,"rat",404.758133045593
"115",115,"owl",1664.14280505785
"143",143,"owl",2129.07663901109
"75",75,"toad",1784.05262949659
"80",80,"toad",1318.04145744159
"170",170,"rat",409.210884958388
"16",16,"toad",1784.28521514016
"121",121,"owl",2059.67560865848
"35",35,"toad",1488.51113891963
"47",47,"owl",1755.71946518676
"69",69,"cat",3536.48009977175
"195",195,"cat",3976.91073770568
"31",31,"owl",2103.15263301601
"186",186,"rat",329.571087593626
"152",152,"rat",325.767017547186
"182",182,"toad",2051.00435885747
"169",169,"cat",3514.01244762887
"37",37,"toad",1178.32105108448
"136",136,"rat",323.444804011251
"128",128,"cat",3244.7646269744
"104",104,"owl",1806.79133884515
"165",165,"rat",388.151306384334
"9",9,"rat",412.824553700119
"41",41,"rat",328.624425488886
"14",14,"cat",3721.62018121341
"94",94,"rat",415.291284838825
"86",86,"toad",2289.57442279229
"192",192,"toad",2142.24332543607
"83",83,"rat",364.382874617611
"93",93,"toad",1026.98900101565
"178",178,"cat",3598.50531829668
"33",33,"toad",1862.13771355265
"179",179,"toad",1423.15008560293
"48",48,"rat",385.628643375224
"67",67,"owl",1776.31407061896
"98",98,"cat",3935.24361142084
"125",125,"toad",1631.94883450775
"183",183,"cat",3756.53916254807
"45",45,"cat",3546.47453694294
"88",88,"toad",2079.92680364322
"17",17,"cat",3762.70434773446
"122",122,"owl",1794.86502545756
"101",101,"owl",1955.83026516498
"113",113,"rat",397.715906646
"167",167,"toad",2269.99080297352
"163",163,"toad",689.473041469743
"138",138,"cat",3578.19301121824
"3",3,"cat",4109.31622170961
"199",199,"owl",2107.82437927673
"72",72,"rat",376.171501258983
"52",52,"toad",2088.12536337779
"184",184,"toad",1772.41636233055
"198",198,"toad",681.140312856889
"114",114,"owl",2702.17201009998
"51",51,"cat",3990.3081232233
"127",127,"cat",3922.54447159915
"53",53,"rat",430.465469093751
"70",70,"rat",376.131703538531
"173",173,"owl",2407.8511634253
"91",91,"cat",3384.71734311321
"12",12,"owl",2721.54027882504
"7",7,"cat",3590.40677177055
"46",46,"rat",305.76569845048
"200",200,"toad",2077.6098120116
"28",28,"owl",2592.54990009625
"105",105,"owl",2258.61671107035
"20",20,"cat",3392.76678767012
"174",174,"owl",1405.87236354165
"79",79,"owl",2442.22396044781
"103",103,"owl",1976.78855002195
"176",176,"toad",1943.3846459536
"139",139,"cat",4258.07602831673
"196",196,"cat",3843.84783261314
"197",197,"toad",1343.21237907366
"27",27,"owl",1632.69609681107
"30",30,"toad",1568.47818538077
"190",190,"owl",1830.85084790325
"34",34,"rat",348.099925254021
"1",1,"owl",2450.19309518428
"189",189,"toad",1752.68834425569
"54",54,"owl",1219.9607744493
"38",38,"owl",2382.37128559051
"97",97,"toad",1993.49616735736
"5",5,"cat",4225.56605764542
"194",194,"owl",2228.08867196045
"13",13,"rat",407.40894451957
"43",43,"owl",937.465709478031
"129",129,"cat",3377.17998100836
"2",2,"rat",412.29196143903
"141",141,"toad",1398.6025254333
"159",159,"toad",2230.12976088853
"18",18,"toad",2149.25054110498
"117",117,"toad",1628.57931968149
"110",110,"toad",2143.44329517385
"156",156,"owl",2371.84280791842
